iso;nga;country;code;name;class
AD;AN;Andorra;AN02;Canillo;parròquia (parish)
AD;AN;Andorra;AN03;Encamp;parròquia (parish)
AD;AN;Andorra;AN04;La Massana;parròquia (parish)
AD;AN;Andorra;AN05;Ordino;parròquia (parish)
AD;AN;Andorra;AN06;Sant Julià de Lòria;parròquia (parish)
AD;AN;Andorra;AN07;Andorra la Vella;parròquia (parish)
AD;AN;Andorra;AN08;Escaldes-Engordany;parròquia (parish)
AE;AE;United Arab Emirates;AE01;Abū Z̧aby;emirate
AE;AE;United Arab Emirates;AE02;‘Ajmān;emirate
AE;AE;United Arab Emirates;AE03;Dubayy;emirate
AE;AE;United Arab Emirates;AE04;Al Fujayrah;emirate
AE;AE;United Arab Emirates;AE05;Ra’s al Khaymah;emirate
AE;AE;United Arab Emirates;AE06;Ash Shāriqah;emirate
AE;AE;United Arab Emirates;AE07;Umm al Qaywayn;emirate
AF;AF;Afghanistan;AF01;Badakhshān;wilāyat (province)
AF;AF;Afghanistan;AF02;Bādghīs;wilāyat (province)
AF;AF;Afghanistan;AF03;Baghlān;wilāyat (province)
AF;AF;Afghanistan;AF05;Bāmyān;wilāyat (province)
AF;AF;Afghanistan;AF06;Farāh;wilāyat (province)
AF;AF;Afghanistan;AF07;Fāryāb;wilāyat (province)
AF;AF;Afghanistan;AF08;Ghaznī;wilāyat (province)
AF;AF;Afghanistan;AF09;Ghōr;wilāyat (province)
AF;AF;Afghanistan;AF10;Helmand;wilāyat (province)
AF;AF;Afghanistan;AF11;Herāt;wilāyat (province)
AF;AF;Afghanistan;AF13;Kābul;wilāyat (province)
AF;AF;Afghanistan;AF14;Kāpīsā;wilāyat (province)
AF;AF;Afghanistan;AF17;Lōgar;wilāyat (province)
AF;AF;Afghanistan;AF18;Nangarhār;wilāyat (province)
AF;AF;Afghanistan;AF19;Nīmrōz;wilāyat (province)
AF;AF;Afghanistan;AF23;Kandahār;wilāyat (province)
AF;AF;Afghanistan;AF24;Kunduz;wilāyat (province)
AF;AF;Afghanistan;AF26;Takhār;wilāyat (province)
AF;AF;Afghanistan;AF27;Wardak;wilāyat (province)
AF;AF;Afghanistan;AF28;Zābul;wilāyat (province)
AF;AF;Afghanistan;AF29;Paktīkā;wilāyat (province)
AF;AF;Afghanistan;AF30;Balkh;wilāyat (province)
AF;AF;Afghanistan;AF31;Jowzjān;wilāyat (province)
AF;AF;Afghanistan;AF32;Samangān;wilāyat (province)
AF;AF;Afghanistan;AF33;Sar-e Pul;wilāyat (province)
AF;AF;Afghanistan;AF34;Kunaṟ;wilāyat (province)
AF;AF;Afghanistan;AF35;Laghmān;wilāyat (province)
AF;AF;Afghanistan;AF36;Paktiyā;wilāyat (province)
AF;AF;Afghanistan;AF37;Khōst;wilāyat (province)
AF;AF;Afghanistan;AF38;Nūristān;wilāyat (province)
AF;AF;Afghanistan;AF39;Uruzgān;wilāyat (province)
AF;AF;Afghanistan;AF40;Parwān;wilāyat (province)
AF;AF;Afghanistan;AF41;Dāykundī;wilāyat (province)
AF;AF;Afghanistan;AF42;Panjshir [conventional] / Panjshayr [Dari];wilāyat (province)
AG;AC;Antigua and Barbuda;AC01;Barbuda;dependency
AG;AC;Antigua and Barbuda;AC03;Saint George;parish
AG;AC;Antigua and Barbuda;AC04;Saint John;parish
AG;AC;Antigua and Barbuda;AC05;Saint Mary;parish
AG;AC;Antigua and Barbuda;AC06;Saint Paul;parish
AG;AC;Antigua and Barbuda;AC07;Saint Peter;parish
AG;AC;Antigua and Barbuda;AC08;Saint Philip;parish
AG;AC;Antigua and Barbuda;AC09;Redonda;dependency
AL;AL;Albania;AL40;Berat;qark (county)
AL;AL;Albania;AL41;Dibër;qark (county)
AL;AL;Albania;AL42;Durrës;qark (county)
AL;AL;Albania;AL43;Elbasan;qark (county)
AL;AL;Albania;AL44;Fier;qark (county)
AL;AL;Albania;AL45;Gjirokastër;qark (county)
AL;AL;Albania;AL46;Korçë;qark (county)
AL;AL;Albania;AL47;Kukës;qark (county)
AL;AL;Albania;AL48;Lezhë;qark (county)
AL;AL;Albania;AL49;Shkodër;qark (county)
AL;AL;Albania;AL50;Tiranë;qark (county)
AL;AL;Albania;AL51;Vlorë;qark (county)
AM;AM;Armenia;AM01;Aragatsotn;marz (district)
AM;AM;Armenia;AM02;Ararat;marz (district)
AM;AM;Armenia;AM03;Armavir;marz (district)
AM;AM;Armenia;AM04;Geghark’unik’;marz (district)
AM;AM;Armenia;AM05;Kotayk’;marz (district)
AM;AM;Armenia;AM06;Lorri;marz (district)
AM;AM;Armenia;AM07;Shirak;marz (district)
AM;AM;Armenia;AM08;Syunik’;marz (district)
AM;AM;Armenia;AM09;Tavush;marz (district)
AM;AM;Armenia;AM10;Vayots’ Dzor;marz (district)
AM;AM;Armenia;AM11;Yerevan;k’aghak’ (city)
AO;AO;Angola;AO01;Benguela;província (province)
AO;AO;Angola;AO02;Bié;província (province)
AO;AO;Angola;AO03;Cabinda;província (province)
AO;AO;Angola;AO04;Kuando Kubango;província (province)
AO;AO;Angola;AO05;Kwanza Norte;província (province)
AO;AO;Angola;AO06;Kwanza Sul;província (province)
AO;AO;Angola;AO07;Cunene;província (province)
