iso;country;code;level;name;altname
AT;Austria;AT1;1;Ostösterreich;
AT;Austria;AT11;2;Burgenland;
AT;Austria;AT111;3;Mittelburgenland;
AT;Austria;AT112;3;Nordburgenland;
AT;Austria;AT113;3;Südburgenland;
AT;Austria;AT12;2;Niederösterreich;
AT;Austria;AT121;3;Mostviertel-Eisenwurzen;
AT;Austria;AT122;3;Niederösterreich-Süd;
AT;Austria;AT123;3;Sankt Pölten;
AT;Austria;AT124;3;Waldviertel;
AT;Austria;AT125;3;Weinviertel;
AT;Austria;AT126;3;Wiener Umland/Nordteil;
AT;Austria;AT127;3;Wiener Umland/Südteil;
AT;Austria;AT13;2;Wien;
AT;Austria;AT130;3;Wien;
AT;Austria;AT2;1;Südösterreich;
AT;Austria;AT21;2;Kärnten;
AT;Austria;AT211;3;Klagenfurt-Villach;
AT;Austria;AT212;3;Oberkärnten;
AT;Austria;AT213;3;Unterkärnten;
AT;Austria;AT22;2;Steiermark;
AT;Austria;AT221;3;Graz;
AT;Austria;AT222;3;Liezen;
AT;Austria;AT223;3;Östliche Obersteiermark;
AT;Austria;AT224;3;Oststeiermark;
AT;Austria;AT225;3;West- und Südsteiermark;
AT;Austria;AT226;3;Westliche Obersteiermark;
AT;Austria;AT3;1;Westösterreich;
AT;Austria;AT31;2;Oberösterreich;
AT;Austria;AT311;3;Innviertel;
AT;Austria;AT312;3;Linz-Wels;
AT;Austria;AT313;3;Mühlviertel;
AT;Austria;AT314;3;Steyr-Kirchdorf;
AT;Austria;AT315;3;Traunviertel;
AT;Austria;AT32;2;Salzburg;
AT;Austria;AT321;3;Lungau;
AT;Austria;AT322;3;Pinzgau-Pongau;
AT;Austria;AT323;3;Salzburg und Umgebung;
AT;Austria;AT33;2;Tirol;
AT;Austria;AT331;3;Außerfern;
AT;Austria;AT332;3;Innsbruck;
AT;Austria;AT333;3;Osttirol;
AT;Austria;AT334;3;Tiroler Oberland;
AT;Austria;AT335;3;Tiroler Unterland;
AT;Austria;AT34;2;Vorarlberg;
AT;Austria;AT341;3;Bludenz-Bregenzer Wald;
AT;Austria;AT342;3;Rheintal-Bodenseegebiet;
BE;Belgium;BE1;1;Région de Bruxelles-Capitale;Brussels Hoofdstedelijk gewest
BE;Belgium;BE10;2;Région de Bruxelles-Capitale;Brussels Hoofdstedelijk gewest
BE;Belgium;BE100;3;Bruxelles-Capitale;Brussel-Hoofdstad
BE;Belgium;BE2;1;Vlaams gewest;
BE;Belgium;BE21;2;Antwerpen;
BE;Belgium;BE211;3;Antwerpen;
BE;Belgium;BE212;3;Mechelen;
BE;Belgium;BE213;3;Turnhout;
BE;Belgium;BE22;2;Limburg;
BE;Belgium;BE221;3;Hasselt;
BE;Belgium;BE222;3;Maaseik;
BE;Belgium;BE223;3;Tongeren;
BE;Belgium;BE23;2;Oost-Vlaanderen;
BE;Belgium;BE231;3;Aalst;
BE;Belgium;BE232;3;Dendermonde;
BE;Belgium;BE233;3;Eeklo;
BE;Belgium;BE234;3;Gent;
BE;Belgium;BE235;3;Oudenaarde;
BE;Belgium;BE236;3;Sint-Niklaas;
BE;Belgium;BE24;2;Vlaams-Brabant;
BE;Belgium;BE241;3;Halle-Vilvoorde;
BE;Belgium;BE242;3;Leuven;
BE;Belgium;BE25;2;West-Vlaanderen;
BE;Belgium;BE251;3;Brugge;
BE;Belgium;BE252;3;Diksmuide;
BE;Belgium;BE253;3;Ieper;
BE;Belgium;BE254;3;Kortrijk;
BE;Belgium;BE255;3;Oostende;
BE;Belgium;BE256;3;Roeselare;
BE;Belgium;BE257;3;Tielt;
BE;Belgium;BE258;3;Veurne;
BE;Belgium;BE3;1;Région wallonne;
BE;Belgium;BE31;2;Brabant Wallon;
BE;Belgium;BE310;3;Nivelles;
BE;Belgium;BE32;2;Hainaut;
BE;Belgium;BE321;3;Ath;
BE;Belgium;BE322;3;Charleroi;
BE;Belgium;BE323;3;Mons;
BE;Belgium;BE324;3;Mouscron;
BE;Belgium;BE325;3;Soignies;
BE;Belgium;BE326;3;Thuin;
BE;Belgium;BE327;3;Tournai;
BE;Belgium;BE33;2;Liège;
BE;Belgium;BE331;3;Huy;
BE;Belgium;BE332;3;Liège;
BE;Belgium;BE334;3;Waremme;
BE;Belgium;BE335;3;Verviers - communes francophones;
BE;Belgium;BE336;3;Bezirk Verviers - Deutschsprachige Gemeinschaft;
BE;Belgium;BE34;2;Luxembourg;
BE;Belgium;BE341;3;Arlon;
BE;Belgium;BE342;3;Bastogne;
BE;Belgium;BE343;3;Marche-en-Famenne;
BE;Belgium;BE344;3;Neufchâteau;
BE;Belgium;BE345;3;Virton;
BE;Belgium;BE35;2;Namur;
BE;Belgium;BE351;3;Dinant;
BE;Belgium;BE352;3;Namur;
BE;Belgium;BE353;3;Philippeville;
BG;Bulgaria;BG3;1;Severna i iztochna bulgaria;
BG;Bulgaria;BG31;2;Severozapaden;
BG;Bulgaria;BG311;3;Vidin;
BG;Bulgaria;BG312;3;Montana;
BG;Bulgaria;BG313;3;Vratsa;
BG;Bulgaria;BG314;3;Pleven;
BG;Bulgaria;BG315;3;Lovech;
BG;Bulgaria;BG32;2;Severen tsentralen;
BG;Bulgaria;BG321;3;Veliko Tarnovo;
BG;Bulgaria;BG322;3;Gabrovo;
BG;Bulgaria;BG323;3;Ruse;
BG;Bulgaria;BG324;3;Razgrad;
BG;Bulgaria;BG325;3;Silistra;
BG;Bulgaria;BG33;2;Severoiztochen;
BG;Bulgaria;BG331;3;Varna;
BG;Bulgaria;BG332;3;Dobrich;
BG;Bulgaria;BG333;3;Shumen;
BG;Bulgaria;BG334;3;Targovishte;
BG;Bulgaria;BG34;2;Yugoiztochen;
BG;Bulgaria;BG341;3;Burgas;
BG;Bulgaria;BG342;3;Sliven;
BG;Bulgaria;BG343;3;Yambol;
BG;Bulgaria;BG344;3;Stara Zagora;
BG;Bulgaria;BG4;1;Yugozapadna i yuzhna tsentralna bulgaria;
BG;Bulgaria;BG41;2;Yugozapaden;
BG;Bulgaria;BG411;3;Sofia (Stolitsa);
BG;Bulgaria;BG412;3;Sofia;
BG;Bulgaria;BG413;3;Blagoevgrad;
BG;Bulgaria;BG414;3;Pernik;
BG;Bulgaria;BG415;3;Kyustendil;
BG;Bulgaria;BG42;2;Yuzhen tsentralen;
BG;Bulgaria;BG421;3;Plovdiv;
BG;Bulgaria;BG422;3;Haskovo;
BG;Bulgaria;BG423;3;Pazardzhik;
BG;Bulgaria;BG424;3;Smolyan;
BG;Bulgaria;BG425;3;Kardzhali;
CH;Switzerland;CH0;1;Schweiz - Suisse - Svizzera;
CH;Switzerland;CH01;2;Région lémanique;
CH;Switzerland;CH011;3;Vaud;
CH;Switzerland;CH012;3;Valais;
CH;Switzerland;CH013;3;Genève;
CH;Switzerland;CH02;2;Espace Mittelland;
CH;Switzerland;CH021;3;Bern;
CH;Switzerland;CH022;3;Freiburg;
CH;Switzerland;CH023;3;Solothurn;
CH;Switzerland;CH024;3;Neuchâtel;
CH;Switzerland;CH025;3;Jura;
CH;Switzerland;CH03;2;Nordwestschweiz;
CH;Switzerland;CH031;3;Basel-Stadt;
CH;Switzerland;CH032;3;Basel-Landschaft;
CH;Switzerland;CH033;3;Aargau;
CH;Switzerland;CH04;2;Zürich;
CH;Switzerland;CH040;3;Zürich;
CH;Switzerland;CH05;2;Ostschweiz;
CH;Switzerland;CH051;3;Glarus;
CH;Switzerland;CH052;3;Schaffhausen;
CH;Switzerland;CH053;3;Appenzell Ausserrhoden;
CH;Switzerland;CH054;3;Appenzell Innerrhoden;
CH;Switzerland;CH055;3;St. Gallen;
CH;Switzerland;CH056;3;Graubünden;
CH;Switzerland;CH057;3;Thurgau;
CH;Switzerland;CH06;2;Zentralschweiz;
CH;Switzerland;CH061;3;Luzern;
CH;Switzerland;CH062;3;Uri;
CH;Switzerland;CH063;3;Schwyz;
CH;Switzerland;CH064;3;Obwalden;
CH;Switzerland;CH065;3;Nidwalden;
CH;Switzerland;CH066;3;Zug;
CH;Switzerland;CH07;2;Ticino;
CH;Switzerland;CH070;3;Ticino;
CY;Cyprus;CY0;1;Kypros / Kibris;
CY;Cyprus;CY00;2;Kypros / Kibris;
CY;Cyprus;CY000;3;Kypros / Kibris;
CZ;Czech Republic;CZ0;1;Ceska republika;
CZ;Czech Republic;CZ01;2;Praha;
CZ;Czech Republic;CZ010;3;Hlavni mesto Praha;
CZ;Czech Republic;CZ02;2;Stredni Cechy;
CZ;Czech Republic;CZ020;3;Stredocesky kraj;
CZ;Czech Republic;CZ03;2;Jihozapad;
CZ;Czech Republic;CZ031;3;Jihocesky kraj;
CZ;Czech Republic;CZ032;3;Plzensky kraj;
CZ;Czech Republic;CZ04;2;Severozapad;
CZ;Czech Republic;CZ041;3;Karlovarsky kraj;
CZ;Czech Republic;CZ042;3;Ustecky kraj;
CZ;Czech Republic;CZ05;2;Severovychod;
CZ;Czech Republic;CZ051;3;Liberecky kraj;
CZ;Czech Republic;CZ052;3;Kralovehradecky kraj;
CZ;Czech Republic;CZ053;3;Pardubicky kraj;
CZ;Czech Republic;CZ06;2;Jihovychod;
CZ;Czech Republic;CZ063;3;Vysocina;
CZ;Czech Republic;CZ064;3;Jihomoravsky kraj;
CZ;Czech Republic;CZ07;2;Stredni Morava;
CZ;Czech Republic;CZ071;3;Olomoucky kraj;
CZ;Czech Republic;CZ072;3;Zlinsky kraj;
CZ;Czech Republic;CZ08;2;Moravskoslezsko;
CZ;Czech Republic;CZ080;3;Moravskoslezsky kraj;
DE;Germany;DE1;1;Baden-Württemberg;
DE;Germany;DE11;2;Stuttgart;
DE;Germany;DE111;3;Stuttgart, Stadtkreis;
DE;Germany;DE112;3;Böblingen;
DE;Germany;DE113;3;Esslingen;
DE;Germany;DE114;3;Göppingen;
DE;Germany;DE115;3;Ludwigsburg;
DE;Germany;DE116;3;Rems-Murr-Kreis;
DE;Germany;DE117;3;Heilbronn, Stadtkreis;
DE;Germany;DE118;3;Heilbronn, Landkreis;
DE;Germany;DE119;3;Hohenlohekreis;
DE;Germany;DE11A;3;Schwäbisch Hall;
DE;Germany;DE11B;3;Main-Tauber-Kreis;
DE;Germany;DE11C;3;Heidenheim;
DE;Germany;DE11D;3;Ostalbkreis;
DE;Germany;DE12;2;Karlsruhe;
DE;Germany;DE121;3;Baden-Baden, Stadtkreis;
DE;Germany;DE122;3;Karlsruhe, Stadtkreis;
DE;Germany;DE123;3;Karlsruhe, Landkreis;
DE;Germany;DE124;3;Rastatt;
DE;Germany;DE125;3;Heidelberg, Stadtkreis;
DE;Germany;DE126;3;Mannheim, Stadtkreis;
DE;Germany;DE127;3;Neckar-Odenwald-Kreis;
DE;Germany;DE128;3;Rhein-Neckar-Kreis;
DE;Germany;DE129;3;Pforzheim, Stadtkreis;
DE;Germany;DE12A;3;Calw;
DE;Germany;DE12B;3;Enzkreis;
DE;Germany;DE12C;3;Freudenstadt;
DE;Germany;DE13;2;Freiburg;
DE;Germany;DE131;3;Freiburg im Breisgau, Stadtkreis;
DE;Germany;DE132;3;Breisgau-Hochschwarzwald;
