Three-Letter City Code	City Name	State/Pro.	Country Code	Time Zone Code	STV	Three-Letter Airport Code	Airport Name	Numeric Code	Location Type	Type Name	Aggregated Name
AAA	Anaa		PF	2		AAA		0001	3	Airport	Anaa Airport
AAB	Arrabury	QL	AU	2	B	AAB		0002	3	Airport	Arrabury Airport
AAC	El Arish		EG			AAC	International		3	Airport	El Arish International Airport
AAE	Annaba		DZ			AAE	Rabah Bitat	0003	3	Airport	Annaba Rabah Bitat Airport
AAF	Apalachicola	FL	US	1		AAF	Municipal		3	Airport	Apalachicola Municipal Airport
AAG	Arapoti	PR	BR	1		AAG			3	Airport	Arapoti Airport
AAH	Aachen		DE			AAH	Merzbrueck		3	Airport	Aachen Merzbrueck Airport
AAH	Aachen		DE			XHJ	Hbf Railway Station		5	Railway Station	Aachen Hbf Railway Station
AAI	Arraias	TO	BR	1	A	AAI		0005	3	Airport	Arraias Airport
AAJ	Awaradam		SR			AAJ	Cayana Airstrip		3	Airport	Awaradam Cayana Airstrip Airport
AAK	Aranuka		KI	1		AAK			3	Airport	Aranuka Airport
AAL	Aalborg		DK			AAL	Airport	0006	3	Airport	Aalborg Airport
AAL	Aalborg		DK			ZTG	Railway Station		5	Railway Station	Aalborg Railway Station
AAM	Mala Mala		ZA			AAM			3	Airport	Mala Mala Airport
AAN	Al Ain		AE			AAN	International	0007	3	Airport	Al Ain International Airport
AAN	Al Ain		AE			ZVH	EK Bus Station		4	Bus Station	Al Ain EK Bus Station
AAO	Anaco		VE			AAO		0008	3	Airport	Anaco Airport
AAQ	Anapa		RU	2		AAQ	Vityazevo		3	Airport	Anapa Vityazevo Airport
AAR	Aarhus		DK			AAR	Airport	0010	3	Airport	Aarhus Airport
AAR	Aarhus		DK			ZBU	Limousine		4	Bus Station	Aarhus Limousine Bus Station
AAR	Aarhus		DK			ZID	Bus Station		4	Bus Station	Aarhus Bus Station
AAR	Aarhus		DK			ZJH	Aarhus H Railway Stn		5	Railway Station	Aarhus Aarhus H Railway Stn Railway Station
AAS	Apalapsili		ID	3		AAS			3	Airport	Apalapsili Airport
AAT	Altay		CN			AAT			3	Airport	Altay Airport
AAU	Asau		WS			AAU		0011	3	Airport	Asau Airport
AAV	Surallah		PH			AAV	Allah Valley	0012	3	Airport	Surallah Allah Valley Airport
AAX	Araxa	MG	BR	1		AAX		0013	3	Airport	Araxa Airport
AAY	Al Ghaydah		YE			AAY		0014	3	Airport	Al Ghaydah Airport
AAZ	Quetzaltenango		GT			AAZ			3	Airport	Quetzaltenango Airport
ABA	Abakan		RU	6		ABA		0016	3	Airport	Abakan Airport
ABB	Asaba		NG			ABB	International		3	Airport	Asaba International Airport
ABC	Albacete		ES	1		ABC	Airport		3	Airport	Albacete Airport
ABC	Albacete		ES	1		EEM	Railway Station		5	Railway Station	Albacete Railway Station
ABC	Albacete		ES	1		XJJ	Bus Station		4	Bus Station	Albacete Bus Station
ABD	Abadan		IR			ABD		0018	3	Airport	Abadan Airport
ABE	Allentown	PA	US	1		ABE	Lehigh Valley Intl	0019	3	Airport	Allentown Lehigh Valley Intl Airport
ABE	Bethlehem	PA	US	1		ABE	Lehigh Valley Intl		3	Airport	Bethlehem Lehigh Valley Intl Airport
ABE	Easton	PA	US	1		ABE	Lehigh Valley Intl		3	Airport	Easton Lehigh Valley Intl Airport
ABF	Abaiang		KI	1		ABF		0020	3	Airport	Abaiang Airport
ABG	Abingdon Downs	QL	AU	2	B	ABG		0021	3	Airport	Abingdon Downs Airport
ABH	Alpha	QL	AU	2	B	ABH		0022	3	Airport	Alpha Airport
ABI	Abilene	TX	US	2		ABI	Metropolitan Area		2	Metropolitan Area	Abilene Metropolitan Area
ABI	Abilene	TX	US	2		ABI	Regional	0023	3	Airport	Abilene Regional Airport
ABI	Abilene	TX	US	2		DYS	Dyess AFB		3	Airport	Abilene Dyess AFB Airport
ABJ	Abidjan		CI			ABJ	Felix Houphouet-Boigny		3	Airport	Abidjan Felix Houphouet-Boigny Airport
ABK	Kebri Dehar		ET			ABK		0025	3	Airport	Kebri Dehar Airport
ABL	Ambler	AK	US	5		ABL		0026	3	Airport	Ambler Airport
ABM	Bamaga	QL	AU	2	B	ABM	Northern Peninsula	0027	3	Airport	Bamaga Northern Peninsula Airport
ABN	Albina		SR			ABN		0028	3	Airport	Albina Airport
ABO	Aboisso		CI			ABO			3	Airport	Aboisso Airport
ABP	Atkamba		PG			ABP			3	Airport	Atkamba Airport
ABQ	Albuquerque	NM	US	3		ABQ	International	0029	3	Airport	Albuquerque International Airport
ABR	Aberdeen	SD	US	2		ABR	Municipal	0030	3	Airport	Aberdeen Municipal Airport
ABS	Abu Simbel		EG			ABS		0031	3	Airport	Abu Simbel Airport
ABT	Al Baha		SA			ABT	Al-Aqiq		3	Airport	Al Baha Al-Aqiq Airport
