ICAO;IATA;Name;Country
AGAF;;AFUTARA;
AGAR;;ARONA;
AGAT;ATD;ATOIFI / URU HARBOUR;SB
AGBT;;BATUNA;
AGEV;;GEVA / VELLA LA VELLA;
AGGA;AKS;AUKI / GWAUNARUU;SB
AGGB;BNY;BELLONA/ANUA;SB
AGGC;CHY;CHOISEUL BAY/TARO ISLAND;SB
AGGE;BAS;BALLALAE/BALLALAE;SB
AGGF;FRE;FERA/MARINGE;SB
AGGG;;;SB
AGGH;HIR;HONIARA INTL/HENDERSON FIELD;SB
AGGI;;BABANAKIRA;
AGGJ;;AVUAVU / HAIMARU;
AGGK;IRA;KIRAKIRA;SB
AGGL;SCZ;SANTA CRUZ/GRACIOSA BAY/LUOVO;SB
AGGM;MUA;MUNDA;SB
AGGN;GZO;GIZO / NUSATUPE;SB
AGGO;MNY;MONO / STIRLING ISLAND;SB
AGGP;PRS;PARASI;SB
AGGQ;OTV;ONTONG JAVA;SB
AGGR;RNL;RENNELL/TINGOA;SB
AGGS;;SEGHE;
AGGT;NNB;SANTA ANNA;SB
AGGU;;MARAU / PARURU;
AGGV;VAO;SUAVANAO;SB
AGGY;XYA;YANDINA / RUSSEL ISLANDS;SB
AGIN;;ISUNA;
AGJO;;JAJAO;
AGKG;;KAGHAU;
AGKU;;KUDUKU;
AGKW;;KWAILABESI;
AGMU;;MALUU;
AGNA;;NANA;
AGOK;;GATOKAE;
AGRC;;RINGICOVE;
AGRM;;RAMATA;
AGTI;;TULAGHI;
AGVH;;VIRU HARBOUR;
ANAU;;;NR
ANYN;INU;NAURU INTL;NR
AYBK;BUA;BUKA;PG
AYCH;CMU;CHIMBU;PG
AYDU;DAU;DARU;PG
AYGA;GKA;GOROKA;PG
AYGN;GUR;GURNEY;PG
AYGR;PNP;GIRUA;PG
AYHK;HKN;HOSKINS;PG
AYKA;;KIRIWINA;
AYKI;UNG;KIUNGA;PG
AYKK;KRI;KIKORI;PG
AYKM;KMA;KEREMA;PG
AYKV;KVG;KAVIENG;PG
AYKY;;LIHIR/KUNAYE;
AYMD;MAG;MADANG;PG
AYMH;HGU;MOUNT HAGEN;PG
AYMN;MDU;MENDI;PG
AYMO;MAS;MOMOTE;PG
AYMR;MXH;MORO/KUTUBU;PG
AYMS;MIS;MISIMA;PG
AYNZ;LAE;NADZAB;PG
AYPM;;;PG
AYPY;POM;JACKSONS INTL;PG
AYRB;;;
AYTA;TIZ;TARI;PG
AYTB;TBG;TABUBIL;PG
AYTK; ;TOKUA;PG
AYVN;VAI;VANIMO;PG
AYWD;WBM;WAPENAMANDA;PG
AYWK;WWK;BORAM;PG
BGAA;JEG;AASIAAT;GL
BGAG;;AAPPILATTOQ (UPERNAVIK);
BGAK;;AKUNAQ;
BGAM;AGM;AMMASSALIK;GL
BGAP;;ALLUITSUP PAA;
BGAQ;;AAPPILATTOQ (NANORTALIK);
BGAR;;ARSUK;
BGAS;;AMMASSIVIK;GL
BGAT;;ATTU;GL
BGBW;UAK;NARSARSUAQ;GL
BGCH;;QASIGIANNGUIT;
BGCO;CNP;NERLERIT INAAT;GL
BGDB;;DANEBORG;GL
BGDH;;DANMARKSHAVN;GL
BGEM;;;GL
BGET;;EQALUGAARSUIT;
BGFD;;NARSAQ KUJALLEQ;
BGFH;;;GL
BGGD;;KANGILINNGUIT;GL
BGGH;GOH;NUUK;GL
BGGN;;QEQERTARSUAQ;
BGHB;;;GL
BGIA;;IKERASAK;
BGIG;;IGINNIARFIK;
BGIK;;IKERASSAARSUK;
BGIL;;ILIMANAQ;
BGIN;;INNARSUIT;
BGIS;;ISORTOQ;
BGIT;;IKAMIUT;
BGJH;;QAQORTOQ;GL
BGJN;JAV;ILULISSAT;GL
BGKA;;KANGAATSIAQ;
BGKD;;;
BGKK;KUS;KULUSUK;GL
BGKL;;UPERNAVIK KUJALLEQ;
BGKM;;KUUMMIUT;
BGKQ;;KULLORSUAQ;
BGKS;;KANGERSUATSIAQ;
BGKT;;KITSSISUARSUIT;
BGLL;;ILLORSUIT;
BGMO;;;
BGMQ;JSU;MANIITSOQ;GL
BGMV;;MESTERSVIG;
BGNK;;NIAQORNAARSUK;
BGNL;;NALUNAQ;
BGNN;;NANORTALIK;
BGNO;;STATION NORD;
BGNQ;;NUUGAATSIAQ;
BGNS;;NARSAQ;
BGNT;;NIAQORNAT;
BGNU;;NUUSSUAQ;
BGPC;;IKERASASSUAQ;GL
BGPT;;PAAMIUT;
BGQA;;;
BGQE;JJU;QEQERTAQ;GL
BGQK;;;
BGQQ;;QAANAAQ;
BGQT;;QASSIMIUT;
BGSC;;ITTOQQORTOORMIIT;GL
BGSF;SFJ;KANGERLUSSUAQ;GL
BGSG;;SERMILIGAAQ;
BGSI;;SIORAPALUK;
BGSQ;;SAQQAQ;
BGSS;JHS;SISIMIUT;GL
BGST;;SAATTUT;
BGSV;;SAVISSIVIK;
BGTA;;TASIUSAQ (UPERNAVIK);
BGTL;THU;THULE (MIL);GL
BGTN;;TINITEQILAAQ;
BGTQ;;TASIUSAQ (NANORTALIK);
BGUK;JUV;UPERNAVIK;GL
BGUM;;UUMMANNAQ;
BGUP;;;
BGUQ;JQA;UUMMANNAQ/QAARSUT;GL
BGUT;;UKKUSISSAT;
BIAE;;ARNGERDAREYRI;
BIAL;;;
BIAR;AEY;AKUREYRI;IS
BIBA;;BAKKI;
BIBD;BIU;BILDUDALUR;IS
BIBF;BGJ;BORGARFJORDUR EYSTRI;IS
BIBI;;;
BIBK;BJD;Bakkafjordur Airport;IS
BIBL;BLO;BLONDUOS;IS
BIBR;;BUDARDALUR;
BIBV;BXV;BREIDDALSVIK;IS
BIDA;;DAGVERDARA;
BIDG;;;
BIDV;DJU;DJUPIVOGUR;IS
BIEG;EGS;EGILSSTADIR;IS
BIEH;;;
BIFF;;;
BIFL;;FLUDIR;
BIFM;FAG;FAGURHOLSMYRI;IS
BIFZ;;;
BIGE;;;
BIGF;;;
BIGH;;GUNNARSHOLT;
BIGJ;GJR;GJOGUR;IS
BIGR;GRY;GRIMSEY;IS
BIGS;;GRIMSSTADIR;
BIHE;;HERDUBREIDARLINDIR;
BIHI;;HVERAVELLIR;
BIHK;HVK;HOLMAVIK;IS
BIHL;;HELLA;
BIHN;HFN;HOFN/HORNAFIRDI;IS
BIHR;;;
BIHS;;;
BIHT;;;
BIHU;HZK;HUSAVIK;IS
BIHV;;KROKSSTADAMELAR;
BIHX;;;
BIHY;;;
BIHZ;;HUSAFELL;
BIID;;;
BIIS;IFJ;ISAFJORDUR;IS
BIKA;;KALDARMELAR;
BIKE;;KERLINGARFJOLL;
BIKF;KEF;KEFLAVIK;IS
BIKJ;;;
BIKL;;KIRKJUBAEJARKLAUSTUR;
BIKP;OPA;KOPASKER;IS
BIKR;SAK;SAUDARKROKUR (ALEXANDER);IS
BIMK;;MULAKOT;
BIMM;;MELGERDISMELAR;
BIMN;;;
BIMS;;TUNGUBAKKAR MOSFELLSBAE;
BIND;;NYIDALUR;
BINF;NOR;NORDFJORDUR;IS
BIOF;;OLAFSFJORDUR;
BIPA;PFJ;PATREKSFJORDUR;IS
BIRE;RHA;REYKHOLAR;IS
BIRF;OLI;RIF;IS
BIRG;RFN;RAUFARHOFN;IS
BIRK;RKV;REYKJAVIK;IS
BIRL;MVA;REYKJAHLID;IS
BIRS;;REYKJANES;
BISE;;SUDUREYRI;
BISF;;SELFOSS;
BISG;;;
BISH;;;
BISI;SIJ;SIGLUFJORDUR;IS
BISK;;SKOGARSANDUR;
BISN;;SVINAFELL;
BISP;;SPRENGISANDUR;
BISR;;STORIKROPPUR;
BISS;;SANDSKEID;
BIST;SYK;STYKKISHOLMUR;IS
BISV;;SKALAVATN;
BITE;TEY;THINGEYRI (SELARDALUR);IS
BITF;;;
BITH;;;IS
BITM;;THORSMORK;
BITN;THO;THORSHOFN;IS
BITO;;;
BIVA;;VATNSNES;
BIVH;;VARMAHLID;
BIVI;;VIK;
BIVM;VEY;VESTMANNAEYJAR;IS
BIVO;VPN;VOPNAFJORDUR;IS
BKPR;PRN;Pristina, Kosovo, Serbia;RS
Braz;;;
CAH3;;;
CBBC;;BELLA BELLA (CAMPBELL ISLAND);
CKV4;YDW;Obre Lake Airport;CA
CMBH;;MOUNT BELCHER;
CRML;;STONEY POINT (LE CUNFF);
CSR8;;;
CSU2;YKU;Chisasibi ;CA
CTPP;;;HT
CWAE;;;CA
CWAG;;;CA
CWAH;;;CA
CWAN;;;CA
CWAQ;;;CA
CWAR;;;CA
CWAS;;;CA
CWAV;;;CA
CWAX;;;CA
CWBA;;;CA
CWBG;;;CA
CWBI;;;CA
CWBJ;;;CA
CWBM;;;CA
CWBR;;;CA
CWBT;;;CA
CWBV;;;CA
CWBY;;;CA
CWBZ;;;CA
CWCA;;;CA
CWCB;;;CA
CWCD;;;CA
CWCI;;;CA
CWCJ;;;CA
CWCL;;;CA
CWCM;;;CA
CWCS;;;CA
CWCU;;;CA
CWDC;;;CA
CWDE;;;CA
CWDF;;;CA
CWDH;;;CA
CWDI;;;CA
CWDJ;;;CA
CWDL;;;CA
CWDM;;;CA
CWDQ;;;CA
CWDS;;;CA
CWDT;;;CA
CWDU;;;CA
CWDV;;;CA
CWDZ;;;CA
CWEB;;;CA
CWEC;;;CA
CWEH;;;CA
CWEI;;;CA
CWEJ;;;CA
CWEO;;;CA
CWEP;;;CA
CWEQ;;;CA
CWEU;;;CA
CWEW;;;CA
CWFD;;;CA
CWFE;;;CA
CWFH;;;CA
CWFL;;;CA
CWFM;;;CA
CWFP;;;CA
CWFQ;;;CA
CWFR;;;CA
CWFU;;;CA
CWFW;;;CA
CWFX;;;CA
CWFY;;;CA
CWFZ;;;CA
CWGH;;;CA
CWGL;;;CA
CWGM;;;CA
CWGN;;;CA
CWGQ;;;CA
CWGR;;;CA
CWGY;;;CA
CWGZ;;;CA
CWHA;;;CA
CWHE;;;CA
CWHH;;;CA
CWHI;;;CA
CWHM;;;CA
CWHN;;;CA
CWHS;;;CA
CWHT;;;CA
CWHU;;;CA
CWHV;;;CA
CWHW;;;CA
CWHY;;;CA
CWID;;;CA
CWIE;;;CA
CWIF;;;CA
CWII;;;CA
CWIJ;;;CA
CWIK;;;CA
CWIQ;;;CA
CWIR;;;CA
CWIZ;;;CA
CWJA;;;CA
CWJD;;;CA
CWJM;;;CA
CWJP;;;CA
CWJU;;;CA
CWKE;;;CA
CWKI;;;CA
CWKK;;;CA
CWKO;;;CA
CWKV;;;CA
CWKW;;;CA
CWLB;;;CA
CWLF;;;CA
CWLG;;;CA
CWLI;;;CA
CWLO;;;CA
CWLQ;;;CA
CWLS;;;CA
CWLT;;;CA
CWLX;;;CA
CWLY;;;CA
CWLZ;;;CA
CWMA;;;CA
CWMD;;;CA
CWMH;;;CA
CWMI;;;CA
CWMJ;;;CA
CWMP;;;CA
CWMR;;;CA
CWMS;;;CA
CWMT;;;CA
CWMV;;;CA
CWMW;;;CA
CWMX;;;CA
CWNC;;;CA
CWNH;;;CA
CWNI;;;CA
CWNK;;;CA
CWNL;;;CA
CWNR;;;CA
CWNT;;;CA
CWNX;;;CA
CWNZ;;;CA
CWOA;;;CA
CWOB;;;CA
CWOC;;;CA
CWOD;;;CA
CWOH;;;CA
CWOL;;;CA
CWOU;;;CA
CWPD;;;CA
CWPH;;;CA
CWPK;;;CA
CWPL;WPL;Powell Lake Airport;CA
CWPO;;;CA
CWPQ;;;CA
CWPU;;;CA
CWQC;;;CA
CWQE;;;CA
CWQG;;;CA
CWQH;;;CA
CWQJ;;;CA
