ICAO;IATA;Airportname;Citycode;Cityname;Countrycode;Countryname;NUTS-3
LOWL;LNZ;LINZ;LNZ;LINZ;AT;AUSTRIA;AT312
LOWG;GRZ;GRAZ;GRZ;GRAZ;AT;AUSTRIA;AT221
LOWI;INN;INNSBRUCK;INN;INNSBRUCK;AT;AUSTRIA;AT332
LOWK;KLU;KLAGENFURT;KLU;KLAGENFURT;AT;AUSTRIA;AT211
LOWS;SZG;SALZBURG;SZG;SALZBURG;AT;AUSTRIA;AT323
LOWW;VIE;VIENNA;VIE;VIENNA;AT;AUSTRIA;AT130
EBCI;CRL;BRUSSELS SOUTH CHARLEROI AIRPORT;BRU;BRUSSELS;BE;BELGIUM;BE100
EBKT;KJK;KORTRIJK;KJK;KORTRIJK;BE;BELGIUM;BE254
EBZH;QHA;HASSELT OFF-LINE POINT;QHA;HASSELT;BE;BELGIUM;BE221
EBGT;GNE;GHENT;GNE;GHENT;BE;BELGIUM;BE234
EBNM;QNM;NAMUR RAIL STATION;QNM;NAMUR;BE;BELGIUM;BE352
EBBR;BRU;BRUSSELS NATIONAL AIRPORT;BRU;BRUSSELS;BE;BELGIUM;BE100
EBAW;ANR;ANTWERP DEURNE AIRPORT;ANR;ANTWERP;BE;BELGIUM;BE211
EBLG;LGG;LIEGE BIERSET APT;LGG;LIEGE;BE;BELGIUM;BE332
EBOS;OST;OSTEND;OST;OSTEND;BE;BELGIUM;BE255
EBZR;OBL;ZOERSEL;OBL;ZOERSEL;BE;BELGIUM;BE211
LBBG;BOJ;BURGAS airport;BOJ;BURGAS;BG;BULGARIA;BG341
LBPD;PDV;PLOVDIV;PDV;PLOVDIV;BG;BULGARIA;BG421
LBGO;GOZ;GORNA ORJAHOVICA;GOZ;GORNA ORJAHOVICA;BG;BULGARIA;BG321
LBSZ;SZR;STARA ZAGORA;SZR;STARA ZAGORA;BG;BULGARIA;BG344
LBRS;ROU;RUSE;ROU;RUSE;BG;BULGARIA;BG323
