AirportCode	CityName	WorldAreaCode
AAC	"AL ARISH, ARAB REP. OF EGYPT       "	591
AAE	"ANNABA, ALGERIA                    "	500
AAF	"APALACHICOLA, FLORIDA, USA         "	33
AAH	"AACHEN, GERMANY                    "	429
AAI	"ARRAIAS, BRAZIL                    "	316
AAJ	"AWARADAM, REP. OF SURINAME         "	379
AAK	"ARANUKA, REP. OF KIRIBATI          "	824
AAL	"AALBORG, DENMARK                   "	419
AAM	"MALA MALA, SOUTH AFRICA            "	562
AAN	"AL AIN, UNITED ARAB EMIRATES       "	678
AAO	"ANACO, VENEZUELA                   "	388
AAQ	"ANAPA, RUSSIA                      "	475
AAR	"AARHUS, DENMARK                    "	419
AAS	"APALAPSILI, INDONESIA              "	832
AAT	"ALTAY, CHINA                       "	713
AAU	"ASAU, W. SAMOA                     "	892
AAV	"ALAH, PHILIPPINES                  "	766
AAW	"ABBOTTABAD, PAKISTAN               "	764
AAX	"ARAXA, BRAZIL                      "	316
AAY	"AL GHAYDAH, YEMEN                  "	694
ABA	"ABAKAN, RUSSIA                     "	770
ABD	"ABADAN, IRAN                       "	632
ABE	"ALLENTOWN, PENNSYLVANIA, USA       "	23
ABF	"ABAIANG, REP. OF KIRIBATI          "	824
ABG	"ABINGDON, QLD., AUSTRALIA          "	802
ABH	"ALPHA, QLD., AUSTRALIA             "	802
ABI	"ABILENE, TEXAS, USA                "	74
ABJ	"ABIDJAN, IVORY COAST               "	533
ABK	"KABRI DAR, ETHIOPIA                "	522
ABL	"AMBLER, ALASKA, USA                "	1
ABM	"BAMAGA, QLD., AUSTRALIA            "	802
ABN	"ALBINA, SURINAM                    "	379
ABO	"ABOISSO, COTE D'IVOIRE             "	533
ABP	"ATKAMBA, PAPUA NEW GUINEA          "	804
ABQ	"ALBUQUERQUE, NEW MEXICO, USA       "	86
ABR	"ABERDEEN, SOUTH DAKOTA, USA        "	67
ABS	"ABU SIMBEL, ARAB REP. OF EGYPT     "	591
ABT	"AL-BAHA, SAUDI ARABIA              "	670
ABU	"ATAMBUA, INDONESIA                 "	832
ABV	"ABUJA, NIGERIA                     "	555
ABW	"ABAU, PAPUA NEW GUINEA             "	804
ABX	"ALBURY, N.S.W., AUSTRALIA          "	802
ABY	"ALBANY, GEORGIA, USA               "	34
ABZ	"ABERDEEN, SCOTLAND, (U.K.)         "	493
ACA	"ACAPULCO, MEXICO                   "	148
ACB	"BELLAIRE, MICHIGAN, USA            "	43
ACC	"ACCRA, GHANA                       "	529
ACD	"ACANDI, COLOMBIA                   "	327
ACE	"ARRECIFE, CANARY IS.               "	482
ACH	"ALTENRHEIN, SWITZERLAND            "	486
ACI	"ALDERNEY, CHANNEL IS., (U.K.)      "	493
ACK	"NANTUCKET, MASSACHUSETTS, USA      "	13
ACL	"AGUA CLARA, COLOMBIA               "	327
ACM	"ARICA, COLOMBIA                    "	327
ACN	"CIUDAD ACUNA, MEXICO               "	148
ACO	"ASCONA, SWITZERLAND                "	486
ACR	"ARARACUARA, COLOMBIA               "	327
ACS	"ACHINSK, RUSSIA                    "	770
ACT	"WACO, TEXAS, USA                   "	74
ACU	"ACHUTUPO, PANAMA REP.              "	162
ACV	"EUREKA/ARCATA, CALIFORNIA, USA     "	91
ACY	"ATLANTIC CITY, NEW JERSEY, USA     "	21
