Airport,Latitude,Longitude
AAA,-17.352606,-145.509956
AAB,-26.75,141
AAC,31.073333,33.835833
AAD,18.05,30.95
AAE,36.822225,7.809167
AAF,29.73,-85.03
AAG,-22.87,-43.27
AAH,50.75,6.133
AAI,-12.92,-46.93
AAJ,3.9,-55.37
AAK,0.2167,174
AAL,57.092789,9.849164
AAM,-24.8,31.53
AAN,24.261667,55.609167
AAO,9.430225,-64.470725
AAP,29.65,-95.3
AAQ,45.002097,37.347272
AAR,56.300017,10.619008
AAS,-3.917,139.3
AAT,43.93,89.5
AAU,-13.45,-172.6
AAV,6.333,124.8
AAW,34.2,73.25
AAX,-19.57,-46.92
AAY,16.191667,52.175
AAZ,14.86,-91.5
ABA,-34.943333,117.808889
ABB,51.53,-0.3
ABC,38.95,-15.18
ABD,30.371111,48.228333
ABE,40.652083,-75.440806
ABF,1.417,172.8
ABG,-17.67,143.2
ABH,-23.646111,146.583611
ABI,32.411319,-99.681897
ABJ,5.261386,-3.926294
ABK,6.733,44.27
ABL,67.1,-157.8
ABM,-10.950833,142.459444
ABN,5.483,-54.05
ABO,5.467,-3.2
ABP,-6.067,141.1
ABQ,35.05,-106.6
ABR,45.449056,-98.421833
ABS,22.375953,31.611722
ABT,20.296139,41.634277
ABU,-9.333,124.9
ABV,9.006792,7.263172
ABW,-10.17,148.7
ABX,-36.067778,146.958056
ABY,31.535515,-84.194473
ABZ,57.201944,-2.197778
ACA,16.757061,-99.753953
ACB,44.98,-85.2
ACC,5.605186,-0.166786
ACD,8.517,-77.3
ACE,28.945464,-13.605225
ACH,47.485033,9.560775
ACI,49.706111,-2.214722
ACJ,8.3,80.43
ACK,41.253053,-70.060181
ACL,4.75,-73
ACM,-2.133,-71.78
ACN,29.3,-100.9
ACO,46.15,8.767
ACP,37.35,46.15
ACR,-0.3833,-72.3
ACS,56.27,90.57
ACT,31.611289,-97.230519
ACU,8.433,-77.97
ACV,40.978111,-124.108611
ACX,40.05,116.6
ACY,39.457583,-74.577167
ACZ,31.09,61.54
ADA,36.982166,35.280388
ADB,38.292392,27.156953
ADC,-7.141,154.7
ADD,8.977889,38.799319
ADE,12.829542,45.028792
ADF,37.73,38.46
ADG,41.9,-84.03
ADH,58.6,125.4
ADI,-22.462223,14.98
ADJ,31.972703,35.991569
ADK,51.87,-176.7
ADL,-34.945,138.530556
ADM,34.3,-97.02
ADN,5.667,-75.88
ADO,-31.02,137.2
ADP,8.301486,80.4279
ADQ,57.749967,-152.493856
ADR,33.45,-79.57
ADS,32.85,-96.85
ADT,34.77,-96.68
ADU,38.325678,48.424356
ADV,51.22,-1.467
ADW,38.810806,-76.867028
ADX,56.372889,-2.868444
ADY,-22.67,29.1
ADZ,12.583594,-81.711192
AEA,0.4833,173.9
