geoNameId	name	featureCode	countryCode	adminCode1	adminCode2	timeZoneId	latitude	longitude	iata	icao	cityId	cityName	isActive
2106	Rasht Airport	AIRP	IR	08	null	Asia/Tehran	37.32531	49.60582	RAS	OIGG	118743	Rasht	1
4472	Khafr Bū at Taḩtā	AIRP	SY	02	null	Asia/Damascus	35.4125	35.94167	null	null	171687	Batrā	1
5428	Forūdgāh-e Gorgān	AIRP	IR	35	null	Asia/Tehran	36.90938	54.40134	GBT	OING	39161	Māmā’ī	1
16126	Tymbou Airstrip	AIRF	CY	04	null	Asia/Nicosia	35.15	33.5	null	null	146011	Tymbou	1
17699	Qūshchī	AIRP	IR	01	null	Asia/Tehran	37.9	45	null	null	21170	Bāstān Qūshchī	1
17839	Marāgheh	AIRP	IR	33	null	Asia/Tehran	37.34802	46.1279	ACP	OITM	124877	Marāgheh	1
17904	Khānīān	AIRP	IR	33	null	Asia/Tehran	37.48333	45.91667	null	null	127886	Khānīān	1
20794	Nicosia International Airport	AIRQ	CY	04	null	Asia/Nicosia	35.15417	33.275	NIC	LCNC	146268	Nicosia	0
35790	Pāygāh-e Havā’ī-ye Nowzheh	AIRB	IR	09	null	Asia/Tehran	35.2	48.7	null	null	129904	Kabūdar Āhang	1
36617	Forūdgāh-e Dezfūl	AIRP	IR	15	null	Asia/Tehran	32.43333	48.43333	DEF	OIAD	139131	Cham Golak	1
66098	Vahdati AFB	AIRB	IR	00	null	Asia/Tehran	32.43333	48.38333	null	null	6687934	Kūy-e Jomhūrī-ye Eslāmī	1
66735	Shahroki Air Force Base	AIRF	IR	00	null	Asia/Tehran	35.21667	48.65	null	null	143619	Amīrābād	1
68239	Forūdgāh-e Hamedān	AIRF	IR	09	null	Asia/Tehran	34.86809	48.55273	null	null	129945	Jūraqān	1
68618	Deh Dasht	AIRF	IR	00	null	Asia/Tehran	30.80444	50.56472	null	null	136987	Dehdasht	1
69009	Behbahan	AIRF	IR	00	null	Asia/Tehran	30.58333	50.23333	null	null	140951	Behbahān	1
69311	Agha Jari	AIRF	IR	15	null	Asia/Tehran	30.7391	49.6869	null	null	6663030	Omīdīyeh	1
104470	King Abdul Aziz Naval Base	AIRF	SA	06	null	Asia/Riyadh	26.94322	49.70286	null	null	109435	Al Jubayl	1
148847	West Kilimanjaro Landing Ground	AIRF	TZ	00	null	Africa/Dar_es_Salaam	-3.04875	36.99995	null	HTWK	160061	Engare Nairobi	1
149607	Tanga	AIRP	TZ	18	null	Africa/Dar_es_Salaam	-5.08333	39.06667	TGT	HTTG	149606	Tanga	1
149659	Tabora Airport	AIRP	TZ	17	null	Africa/Dar_es_Salaam	-5.08333	32.83333	TBO	HTTB	149658	Tabora	1
151480	Njombe	AIRF	TZ	04	null	Africa/Dar_es_Salaam	-9.35	34.76667	null	null	151479	Njombe	1
155949	Lindi	AIRF	TZ	07	null	Africa/Dar_es_Salaam	-9.83333	39.78333	null	null	155965	Likonga	1
157517	Kikwetu	AIRF	TZ	07	null	Africa/Dar_es_Salaam	-9.83333	39.75	null	null	155965	Likonga	1
157740	Kigoma	AIRF	TZ	05	null	Africa/Dar_es_Salaam	-4.88528	29.67056	null	null	149310	Ujiji	1
160265	Dar es Salaam	AIRF	TZ	23	null	Africa/Dar_es_Salaam	-6.88333	39.2	null	null	8128937	Banana	1
175282	Rosa Landing Ground	AIRF	ZM	05	null	Africa/Lusaka	-9.52697	31.23795	null	null	176244	Maliko	1
175622	Mwenimpanza Landing Ground	AIRF	ZM	05	null	Africa/Lusaka	-9.45775	32.94956	null	null	176427	Lenga	1
175809	Munuka Landing Ground	AIRF	ZM	05	null	Africa/Lusaka	-9.9	31.68333	null	null	175810	Munuka	1
176556	Kawambwa	AIRF	ZM	04	null	Africa/Lusaka	-9.8	29.1	null	FLKB	176555	Kawambwa	1
176993	Kalungu	AIRF	ZM	05	null	Africa/Lusaka	-9.66667	32.71667	null	null	175667	Mwananzovu	1
192883	Keringet Landing Strip	AIRF	KE	08	null	Africa/Nairobi	-0.4127	35.67659	null	null	199083	Darasha ya Mawe	1
195916	Jomo Kenyatta Airport Nairobi	AIRF	KE	05	null	Africa/Nairobi	-1.31943	36.92798	null	null	198516	Embakasi	1
214611	Kamina Base	AIRP	CD	00	null	Africa/Lubumbashi	-8.64202	25.2529	KMN	FZSA	388578	Lumwe	1
235714	Karonga Airport	AIRP	MW	00	null	Africa/Blantyre	-9.95357	33.89302	KGJ	FWKA	235715	Karonga	1
235750	Chitipa	AIRF	MW	N	04	Africa/Blantyre	-9.7	33.26667	null	FWCT	235751	Chitipa	1
241725	Tekro	AIRF	TD	24	null	Africa/Ndjamena	19.48333	20.85	null	null	0	null	1
242181	Ounianga-Kebir	AIRF	TD	24	null	Africa/Ndjamena	19.05	20.48333	null	null	242179	Ounianga Kébir	1
242182	Ounianga-Kebir	AIRF	TD	24	null	Africa/Ndjamena	19.05	20.43333	null	null	242179	Ounianga Kébir	1
242183	Ounianga-Kebir	AIRF	TD	24	null	Africa/Ndjamena	19	20.43333	null	null	242179	Ounianga Kébir	1
243591	Iriba	AIRF	TD	02	null	Africa/Ndjamena	15.13333	22.21667	null	null	243590	Iriba	1
243704	Haraze	AIRF	TD	13	null	Africa/Ndjamena	9.93333	20.9	null	null	241839	Tafok Bara	1
243761	Guéréda	AIRF	TD	02	null	Africa/Ndjamena	14.5	22.08333	null	null	243760	Guéréda	1
244129	Fada	AIRF	TD	24	null	Africa/Ndjamena	17.15	21.55	null	null	244128	Fada	1
244879	Biltine	AIRF	TD	02	null	Africa/Ndjamena	14.53333	20.9	null	FTTE	244878	Biltine	1
245339	Am Timam	AIRF	TD	13	null	Africa/Ndjamena	11.03333	20.26667	null	null	245338	Am Timan	1
245502	Am Dam	AIRF	TD	25	null	Africa/Ndjamena	12.73333	20.5	null	null	244034	Galbasa	1
245670	Adré	AIRF	TD	12	null	Africa/Ndjamena	13.48333	22.16667	null	null	245669	Adré	1
245786	Abéché	AIRP	TD	12	null	Africa/Ndjamena	13.85	20.85	AEH	FTTC	245164	Arkou	1
248251	Maţār al Malik Ḩusayn	AIRP	JO	15	null	Asia/Amman	32.35635	36.25918	OMF	OJMF	250085	Az Zubaydīyah	1
248252	Queen Alya International Airport	AIRP	JO	16	null	Asia/Amman	31.66667	36.16667	null	null	407171	Al ‘Āmirīyah	1
248338	Mafraq Airport	AIRF	JO	15	null	Asia/Amman	32.36667	36.25	null	null	250085	Az Zubaydīyah	1
250397	Maţār al `Aqabah	AIRP	JO	21	null	Asia/Amman	29.61162	35.01807	AQJ	OJAQ	250774	Aqaba	1
250437	Maţār `Ammān al Madanī	AIRP	JO	16	null	Asia/Amman	31.9727	35.99157	ADJ	OJAM	250441	Amman	1
250457	Al-Ahnab	AIRF	JO	20	null	Asia/Amman	29.96667	36.9	null	null	0	null	1
250478	Al Qaţrānī	AIRQ	JO	09	null	Asia/Amman	31.25078	36.05209	null	null	250480	Al Qaţrānah	0
250561	Al Manzil	AIRF	JO	09	null	Asia/Amman	31.08097	36.02586	null	null	250480	Al Qaţrānah	1
