iata_code^icao_code^is_geonames^geonameid^name^asciiname^alternatenames^latitude^longitude^fclass^fcode^country_code^cc2^admin1^admin2^admin3^admin4^population^elevation^gtopo30^timezone^gmt_offset^dst_offset^raw_offset^moddate^is_airport^is_commercial^city_code^state_code^region_code^location_type
09M^ZZZZ^Y^4421343^Charleston Municipal Airport^Charleston Municipal Airport^09M^33.98711^-90.07969^S^AIRP^US^^MS^135^^^0^54^51^America/Chicago^-6.0^-5.0^-6.0^2011-12-11^Y^Z^09M^MS^NAMER^A
1B2^K1B2^Y^4941138^Katama Airpark Airport^Katama Airpark Airport^1B2,K1B2^41.35792^-70.52450^S^AIRP^US^^MA^007^^^0^3^254^America/New_York^-5.0^-4.0^-5.0^2011-07-23^Y^Z^1B2^MA^NAMER^A
1B6^K1B6^Y^4939864^Hopedale Industrial Park Airport^Hopedale Industrial Park Airport^1B6,K1B6^42.10591^-71.50990^S^AIRP^US^^MA^027^^^0^73^73^America/New_York^-5.0^-4.0^-5.0^2011-07-23^Y^Z^1B6^MA^NAMER^A
1K1^ZZZZ^Y^4268160^Lloyd Stearman Field Airport^Lloyd Stearman Field Airport^1K1^37.77788^-97.11351^S^AIRP^US^^KS^015^^^0^414^417^America/Chicago^-6.0^-5.0^-6.0^2011-12-11^Y^Z^1K1^KS^NAMER^A
1M8^K1M8^Y^4944831^Myricks Airport^Myricks Airport^1M8,K1M8^41.83793^-71.02682^S^AIRP^US^^MA^005^^^0^20^0^America/New_York^-5.0^-4.0^-5.0^2011-07-23^Y^Z^1M8^MA^NAMER^A
28M^K28M^Y^4934149^Cranland Airport^Cranland Airport^28M,K28M^42.02439^-70.83849^S^AIRP^US^^MA^023^^^0^23^28^America/New_York^-5.0^-4.0^-5.0^2011-07-23^Y^Z^28M^MA^NAMER^A
2B1^K2B1^Y^4932239^Cape Cod Airport^Cape Cod Airport^2B1,K2B1^41.68486^-70.40746^S^AIRP^US^^MA^001^^^0^33^33^America/New_York^-5.0^-4.0^-5.0^2011-07-23^Y^Z^2B1^MA^NAMER^A
2D8^K2D8^Y^4990370^Davis Airport^Davis Airport^2D8,K2D8^42.77365^-84.48859^S^AIRP^US^^MI^037^^^0^256^256^America/Detroit^-5.0^-4.0^-5.0^2011-07-23^Y^Z^2D8^MI^NAMER^A
35D^K35D^Y^5004851^Padgham Field Airport^Padgham Field Airport^35D,K35D^42.53259^-85.83012^S^AIRP^US^^MI^005^^^0^213^214^America/Detroit^-5.0^-4.0^-5.0^2011-12-12^Y^Z^35D^MI^NAMER^A
3B3^K3B3^Y^4952006^Sterling Airport^Sterling Airport^3B3,K3B3^42.42549^-71.79491^S^AIRP^US^^MA^027^^^0^138^140^America/New_York^-5.0^-4.0^-5.0^2011-07-23^Y^Z^3B3^MA^NAMER^A
3B5^ZZZZ^Y^4981360^Twitchell Airport^Twitchell Airport^3B5^44.18768^-70.23391^S^AIRP^US^^ME^001^^^0^108^107^America/New_York^-5.0^-4.0^-5.0^2011-07-23^Y^Z^3B5^ME^NAMER^A
41G^K41G^Y^5012983^University Airpark^University Airpark^41G,K41G^42.84031^-84.47982^S^AIRP^US^^MI^037^^^0^257^255^America/Detroit^-5.0^-4.0^-5.0^2011-12-12^Y^Z^41G^MI^NAMER^A
49G^K49G^Y^5014372^Wend Valley Airport^Wend Valley Airport^49G,K49G^42.58116^-84.90978^S^AIRP^US^^MI^045^^^0^260^260^America/Detroit^-5.0^-4.0^-5.0^2011-12-12^Y^Z^49G^MI^NAMER^A
52F^ZZZZ^Y^4715556^Northwest Regional Airport^Northwest Regional Airport^52F^33.04984^-97.23224^S^AIRP^US^^TX^121^^^0^188^192^America/Chicago^-6.0^-5.0^-6.0^2011-12-11^Y^Z^52F^TX^NAMER^A
53T^ZZZZ^Y^4678833^Cannon Field Airport^Cannon Field Airport^53T^29.21607^-98.54946^S^AIRP^US^^TX^029^^^0^185^188^America/Chicago^-6.0^-5.0^-6.0^2011-12-11^Y^Z^53T^TX^NAMER^A
60G^K60G^Y^5010108^Skyway Estates Airport^Skyway Estates Airport^60G,K60G^42.58334^-84.64914^S^AIRP^US^^MI^045^^^0^284^283^America/Detroit^-5.0^-4.0^-5.0^2011-12-12^Y^Z^60G^MI^NAMER^A
60M^K60M^Y^4951700^Spencer Airport^Spencer Airport^60M,K60M^42.28956^-71.96551^S^AIRP^US^^MA^027^^^0^315^320^America/New_York^-5.0^-4.0^-5.0^2011-07-23^Y^Z^60M^MA^NAMER^A
6R6^ZZZZ^Y^5532187^Terrell County Airport^Terrell County Airport^6R6^30.04773^-102.21331^S^AIRP^US^^TX^443^^^0^702^700^America/Chicago^-6.0^-5.0^-6.0^2011-12-11^Y^Z^6R6^TX^NAMER^A
8B5^K8B5^Y^4952582^Tanner-Hiller Airport^Tanner-Hiller Airport^8B5,K8B5^42.35556^-72.12937^S^AIRP^US^^MA^027^^^0^180^181^America/New_York^-5.0^-4.0^-5.0^2011-07-23^Y^Z^8B5^MA^NAMER^A
9B1^K9B1^Y^4943169^Marlboro Airport^Marlboro Airport^9B1,K9B1^42.34326^-71.51127^S^AIRP^US^^MA^017^^^0^84^87^America/New_York^-5.0^-4.0^-5.0^2011-07-23^Y^Z^9B1^MA^NAMER^A
9C8^K9C8^Y^4992305^Evart Municipal Airport^Evart Municipal Airport^9C8,K9C8^43.89854^-85.28685^S^AIRP^US^^MI^133^^^0^310^311^America/Detroit^-5.0^-4.0^-5.0^2011-12-12^Y^Z^9C8^MI^NAMER^A

