pk^2char_code^name^website
air-9-air-v1^AQ^9 Air^http://9air.com
air-abakan-avia-v2^RL^Royal Flight^http://www.royalflight.ru
air-ab-aviation-v1^Y6^AB Aviation^https://abaviation.aerocrs.net
air-abc-aerolineas-v1^4O^Interjet^https://www.interjet.com/
air-abx-air-v1^GB^ABX Air^http://www.abxair.com
air-act-airlines-v2^9T^MyCargo Airlines^http://www.actairlines.com/
air-adria-airways-v1^JP^Adria Airways^http://adria.si
air-aegean-airlines-v1^A3^Aegean Airlines^http://aegeanair.com
air-aer-arann-v1^RE^Stobart Air^http://www.stobartair.com/
air-aer-lingus-v1^EI^Aer Lingus^http://www.aerlingus.com
air-aero4m-v1^H4^Aero4M^
air-aero-airlines-v1^EE^Aero Airlines^
air-aero-benin-v1^EM^Aero Benin^
air-aero-calafia-v1^A7^Aéreo Calafia^https://www.calafiaairlines.com
air-aero-caribbean-v1^7L^Aero Caribbean^
air-aero-charter-v1^DW^Aero Charter^
air-aeroenlaces-nacionales-v1^VB^Aeroenlaces Nacionales^
air-aeroflot-v1^SU^Aeroflot^http://www.aeroflot.ru/cms/en/
air-aerogaviota-v1^KG^Aerogaviota^
air-aerolinea-principal-chile-v1^5P^PAL Airlines^https://www.palairlines.ca/
air-aerolineas-argentinas-v1^AR^Aerolíneas Argentinas^http://www.aerolineas.com.ar
air-aerolineas-galapagos-v1^2K^Aerolineas Galapagos^
air-aerolineas-mas-v1^N3^Aerolineas Mas^
air-aerolineas-regionales-v1^F2^Safarilink Aviation^http://flysafarilink.com
air-aerolineas-sosa-v1^P4^Aerolineas Sosa^
air-aerolink-uganda-v1^A8^Aerolink Uganda^
air-aerolitoral-v1^5D^Aeroméxico Connect^http://www.aeromexico.com/
air-aeromar-v1^VW^Aeromar^http://www.aeromar.us/
air-aeromexico-v1^AM^AeroMexico^http://www.aeromexico.com/
air-aero-mongolia-v1^M0^Aero Mongolia^
air-aeropostal-v1^VH^Aeropostal^
air-aero-republica-v1^P5^Copa Airlines Colombia^http://www.copaair.com/sites/co/EN/pages/homepage.aspx
air-aero-transporte-atsa-v1^4A^Aero Transporte^
air-aerovias-dap-v1^V5^Aerovias DAP^http://dap.cl/
air-aero-vip-portugal-v1^WV^Aero VIP^http://www.grupo7air.com
air-afghan-jet-v1^HN^Afghan Jet International^
air-african-express-airways-v1^XU^African Express Airways^
air-afric-aviation-v1^L8^Afric Aviation^http://www.africaviation.com/
air-africa-west-cargo-v1^FK^Africa West Cargo Ghd^
air-africa-world-airlines-v1^AW^Africa World Airlines^http://www.flyAfricaWorld.com/
air-afrijet-business-service-v1^J7^Afrijet Business Service^
air-afriqiyah-airways-v1^8U^Afriqiyah Airways^
air-aigle-azur-v1^ZI^Aigle Azur^http://www.aigle-azur.com
air-air-algerie-v1^AH^Air Algerie^http://www.airalgerie.dz/en/
air-air-alliance-v1^ZX^Air Georgian^http://www.airgeorgian.ca
air-air-alsie-v1^6I^Air Alsie^
air-air-antilles-express-v1^3S^Air Antilles Express^
air-air-arabia-egypt-v1^E5^Air Arabia Egypt^http://www.airarabia.com
air-air-arabia-maroc-v1^3O^Air Arabia Maroc^http://www.airarabia.com
air-air-arabia-v1^G9^Air Arabia^http://www.airarabia.com
air-air-asia-india-v1^I5^AirAsia India^http://www.airasia.com/in/en/home.page
air-air-asia-indonesia-v1^QZ^Indonesia AirAsia^http://www.airasia.com
air-air-asia-japan-v1^DJ^AirAsia Japan^http://www.airasia.com/jp/en/home.page
air-air-asia-philippines-v1^PQ^AirAsia Philippines^https://www.airasia.com
air-air-asia-v1^AK^AirAsia^http://www.airasia.com
air-air-asia-x-v1^D7^AirAsia X^http://www.airasia.com/
air-air-astana-v1^KC^Air Astana^http://www.airastana.com/
air-air-austral-v1^UU^Air Austral^http://www.air-austral.com/en
air-air-bagan-v1^W9^Air Bagan^
air-air-baltic-v1^BT^airBaltic^http://airbaltic.com
air-air-berlin-v1^AB^Air Berlin^http://airberlin.com
air-airblue-v1^PA^Airblue^http://www.airblue.com/
air-air-botswana-v1^BP^Air Botswana^
air-air-bretagne-v1^3E^Multi Aero^
