3char_code^2char_code^name^website^logo
AAM^^Air America^^http://commons.wikimedia.org/wiki/Special:FilePath/Airamericalogo.jpg
GUY^3S^Air Antilles^http://www.flyairantilles.com/^http://commons.wikimedia.org/wiki/Special:FilePath/Logo%203s.png
RBG^E5^Air Arabia Alfousha^http://www.airarabia.com/de^http://commons.wikimedia.org/wiki/Special:FilePath/Air%20Arabia%20Logo.svg
ABY^G9^Air Arabia^http://www.airarabia.com^http://commons.wikimedia.org/wiki/Special:FilePath/Air%20Arabia%20Logo.svg
MAC^3O^Air Arabia Maroc^http://www.airarabia.com/en/air-arabia-maroc^http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AirArabia%20Maroc.png
ARU^FQ^Air Aruba^http://www.interknowledge.com/air-aruba/^
ABD^CC^Air Atlanta Icelandic^http://www.airatlanta.is/^http://commons.wikimedia.org/wiki/Special:FilePath/Air%20Atlanta%20Icelandic%20Logo.svg
ATL^9A^Air Atlantic^^
KZR^KC^Air Astana^http://www.airastana.com/^http://commons.wikimedia.org/wiki/Special:FilePath/AirAstanaNewLogo.png
AIA^EJ^Air Atlantis^^
AGC^VC^Air Australia^http://www.airaustralia.com/^http://commons.wikimedia.org/wiki/Special:FilePath/Airaustralianewlogo.png
^^Air Austria^^
REU^UU^Air Austral^http://www.air-austral.com^http://commons.wikimedia.org/wiki/Special:FilePath/Air%20Austral%20Logo.svg
JAB^W9^Air Bagan^http://www.airbagan.com/^
BBT^ZU^Air Bashkortostan^http://airbashkortostan.ru/^
BTM^^Air Batumi^http://www.airbatumi.net/^
ABB^AJ^Air Belgium (1979–2000)^^
BOT^BP^Air Botswana^http://www.airbotswana.co.bw/^
BRN^HR^Air Bremen^^
BUR^B1^Air Bucharest^http://www.airbucharest.ro/^
VBW^2J^Air Burkina^http://www.air-burkina.com/^
ABL^BX^Air Busan^http://www.airbusan.com^http://commons.wikimedia.org/wiki/Special:FilePath/Air%20Busan.svg
TPC^TY^Air Calédonie^http://www.air-caledonie.nc^
FWI^TX^Air Caraïbes^http://www.aircaraibes.com^
CRF^NV^Air Central^http://www.air-central.co.jp/^
ACF^SF^Air Charter^^
CVA^CV^Air Chathams^http://www.airchathams.co.nz^
CNB^BO^Air Columbus^^
DLU^3I^Air Comet Chile^^
^^Air Commerz^^
BUB^ZB^Air Bourbon^^
ABR^AG^ASL Airlines Ireland^http://www.aslairlines.ie^http://commons.wikimedia.org/wiki/Special:FilePath/ASL%20Airlines%20Ireland%20logo.svg
