por_code^city_code^env_id^date_from^date_to^comment
AFW^DFW^^^^As of May 2016, AFW has been moved to FTW/Fort Worth, Texas (TX), USA
BAR^^^^^Missing from reference data
BWH^PEN^^^^As of May 2016, BWH is in BWH/Butterworth, Malaysia (MY)
CYD^CYD^^^^As of May 2016, CYD is in SQS/San Ignacio, Belize (BZ)
EJQ^EJQ^^^^As of May 2016, EJQ is in WDS/Shiyan, Hubei, China (CN)
FBS^FBS^^^^As of May 2016, FBS is in FRD/Friday Harbor, Washington (WA), USA
FTW^DFW^^^^As of May 2016, FTW has been moved to FTW/Fort Worth, Texas (TX), USA
FWH^DFW^^^^As of May 2016, FWH has been moved to FTW/Fort Worth, Texas (TX), USA
GBO^WAS^^^^As of May 2016, GBO is in BWI/Baltimore, Maryland (MD), USA
HBV^HBV^^^^Âs of May 2016, HBV is in HRB/Harbin, Heilongjiang, China (CN)
ITU^BVV^^^^As of May 2016, ITU and BVV are in ITU/Iturup Island, Sakhalin, Russia
IUS^IUS^^^^As of May 2016, IUS/Inus, Papua New Guinea (PG), cannot be distinguished from WKN/Wakunai
JHL^JHL^^^^As of May 2016, JHL is in HZP/Fort MacKay, Alberta, Canada (CA)
JQJ^JIQ^^^^As of May 2016, JQJ is in JQJ/Qianjiang, Hubei, China (CN), not in JIQ/Qianjiang, Chongqing, China (CN), 404km from each other
JYQ^YDD^^^^As of May 2016, JYQ and YDD are in YKH/Yingkou, Liaoning, China (CN)
MJI^MJI^^^^As of May 2016, MJI is in TIP/Tripoli, Libya (LY)
OBT^ODM^^^^As of May 2016, OBT is in OAK/Oakland, California (CA), USA, not in ODM/Oakland, Maryland (MD), USA, thousands of km away
OGM^OGM^^^^As of May 2016, OGM/Ustupo and UTU/Ustupo are the same place in Guna Yala, Panama (PA)
