por_code^source^env_id^date_from^date_to^comment
AIY^R^^^^AIY used to be Atlantic City, New Jersey (NJ), USA, Geonames ID: 4500546
BVF^R^^^^BVF used to be Bua Airport, Fiji (FJ), Geonames ID: 8298792
DNE^R^^^^DNE used to be Dallas North Airport, Texas (TX), USA, Geonames ID: 4697474
DUQ^R^^^^DUQ used to be Duncan Airport, Canada (CA), Geonames ID: 5943865
FOP^R^^^^FOP used to be Morris Army Airfield, Canada (CA), Geonames ID: 4210187
FZO^R^^^^FZO used to be Bristol Filton Airport, United Kingdom (GB), Geonames ID: 6296649
GVW^R^^^^GVW used to be Richards-Gebaur Airport, Missouri (MO), USA, Geonames ID: 4405533
HKP^R^^^^HKP used to be Kaanapali Airport, Hawaii (HI), USA, Geonames ID: 5856832
LUF^R^^^^LUF used to be Litchfield Park Airport, Arizona (AZ), USA, Geonames ID: 7132272
NSA^R^^^^NSA used to be Noosa Airport, Brazil (BR), Geonames ID: 8299129
NZO^R^^^^NZO used to be Nzoia Airport, Kenya (KE), Geonames ID: 8298862
PPO^R^^^^PPO used to be Powell Point Airport, Bahamas (BS), Geonames ID: 3571644
PRE^R^^^^PRE used to be Pore Airport, Colombia (CO), Geonames ID: 3671903
PST^R^^^^PST used to be Preston Airport, Cuba (CU), Geonames ID: 3543522
RAT^R^^^^RAT used to be Raduzhny Airport, Russia (RU), Geonames ID: 7668536
RVH^R^^^^RVH used to be Saint Petersburg Rzhevka Airport, Russia (RU), Geonames ID: 7668521
TNQ^R^^^^TNQ used to be Teraina Airport, Cuba (CU), Geonames ID: 7521815
TSO^R^^^^TSO used to be Isles of Scilly Tresco Airport, United Kingdom (GB), Geonames ID: 7670770
UIQ^R^^^^UIQ used to be Quoin Hill Airport, Vanuatu (VU), Geonames ID: 7730722
XIE^R^^^^XIE used to be Xienglom Airport, Laos (LA), Geonames ID: 8245855
YWO^R^^^^YWO used to be Lupin Mine Airport, Canada (CA), Geonames ID: 8260747
ZMD^R^^^^ZMD used to be Sena Madureira Airfield, Brazil (BR), Geonames ID: 8260768
