iata_code^icao_code^faa_code^is_geonames^geoname_id^envelope_id^name^asciiname^latitude^longitude^fclass^fcode^page_rank^date_from^date_until^comment^country_code^cc2^country_name^continent_name^adm1_code^adm1_name_utf^adm1_name_ascii^adm2_code^adm2_name_utf^adm2_name_ascii^adm3_code^adm4_code^population^elevation^gtopo30^timezone^gmt_offset^dst_offset^raw_offset^moddate^city_code_list^city_name_list^city_detail_list^tvl_por_list^iso31662^location_type^wiki_link^alt_name_section^wac^wac_name^ccy_code^unlc_list^uic_list^geoname_lat^geoname_lon
^MYX7^^Y^3571565^^Rudder Cut Cay Airport^Rudder Cut Cay Airport^23.88333^-76.25^S^AIRF^^^^^BS^^Bahamas^North America^36^Black Point^Black Point^^^^^^0^^7^America/Nassau^-5.0^-4.0^-5.0^2017-10-28^^^^^^A^https://en.wikipedia.org/wiki/Rudder_Cut_Cay_Airport^^204^Bahamas^BSD^^^^
^MYX6^MYX6^Y^3571755^^Oakes Field-Nassau Heliport^Oakes Field-Nassau Heliport^25.0405^-77.3515^S^AIRF^^^^^BS^^Bahamas^North America^23^New Providence^New Providence^^^^^^0^^30^America/Nassau^-5.0^-4.0^-5.0^2014-08-08^^^^^^A^^en|Oakes Field|^204^Bahamas^BSD^^^^
^CEE7^^Y^7730445^^Edmonton/Cooking Lake Airport^Edmonton/Cooking Lake Airport^53.42569^-113.11001^S^AIRP^^^^^CA^^Canada^North America^01^Alberta^Alberta^^^^^^0^^736^America/Edmonton^-7.0^-6.0^-7.0^2013-06-13^^^^^AB^A^https://en.wikipedia.org/wiki/Edmonton%2FCooking_Lake_Airport^|Edmonton/Cooking Lake Seaplane Base|^916^Alberta^CAD^^^^
^VNT1^^Y^8425999^^Talcha Airport^Talcha Airport^29.52164^82.14666^S^AIRP^^^^^NP^^Nepal^Asia^6^Karnali Pradesh^Karnali Pradesh^12095493^Mugu^Mugu^12095627^^0^^2722^Asia/Kathmandu^5.75^5.75^5.75^2019-10-19^^^^^^A^https://en.wikipedia.org/wiki/Talcha_Airport^wkdt|Q7679077|^755^Nepal^NPR^^^^
^CFF8^^Y^8521635^^Bakers Narrows Seaplane Base^Bakers Narrows Seaplane Base^54.67845^-101.65941^H^AIRS^^^^^CA^^Canada^North America^03^Manitoba^Manitoba^^^^^^0^^292^America/Winnipeg^-6.0^-5.0^-6.0^2017-11-03^^^^^MB^A^https://en.wikipedia.org/wiki/Flin_Flon/Bakers_Narrows_Water_Aerodrome^en|Bakers Narrows Seaplane Base|=en|Bakers Narrows SPB|s=en|Bakers Narrows Waterdrome|^926^Manitoba^CAD^^^^
^CJA8^^Y^8531918^^Deer Lake Seaplane Base^Deer Lake Seaplane Base^52.61696^-94.04486^H^AIRS^^^^^CA^^Canada^North America^08^Ontario^Ontario^^^^^^0^^307^America/Winnipeg^-6.0^-5.0^-6.0^2017-10-28^^^^^ON^A^^en|Deer Lake Seaplane Base|=en|Deer Lake SPB|s^936^Ontario^CAD^^^^
^CNC3^^Y^8532024^^Brampton Airport^Brampton Airport^43.75912^-79.87427^S^AIRP^^^^^CA^^Canada^North America^08^Ontario^Ontario^^^^^^0^^280^America/Toronto^-5.0^-4.0^-5.0^2013-05-27^^^^^ON^A^https://en.wikipedia.org/wiki/Brampton_Airport^wkdt|Q3813619|^936^Ontario^CAD^^^^
^CPT2^^Y^9072700^^Killarney Airport^Killarney Airport^45.97719^-81.49598^S^AIRP^^^^^CA^^Canada^North America^08^Ontario^Ontario^3552^Sudbury^Sudbury^^^0^^182^America/Toronto^-5.0^-4.0^-5.0^2018-01-20^^^^^ON^A^https://en.wikipedia.org/wiki/Killarney_Airport^^936^Ontario^CAD^^^^
^UHB1^^Y^11459272^^Birofeld Northwest^Birofeld Northwest^48.46099^132.65858^S^AIRQ^^^^^RU^^Russia^Europe^89^Jewish Autonomous Oblast^Jewish Autonomous Oblast^^^^^^0^^85^Asia/Vladivostok^10.0^10.0^10.0^2017-11-03^^^^^YEV^A^^en|Birofeld Northwest|^770^Russia (Asian Part)^RUB^^^^
^UHK1^^Y^11459282^^Khabarovsk Blagodatnoye^Khabarovsk Blagodatnoye^48.40745^135.41189^S^AIRF^^^^^RU^^Russia^Europe^30^Khabarovsk^Khabarovsk^^^^^^0^^49^Asia/Vladivostok^10.0^10.0^10.0^2017-11-03^^^^^KHA^A^^en|Khabarovsk Blagodatnoye|^770^Russia (Asian Part)^RUB^^^^
^RKA9^^Y^11506290^^C 193 Heliport^C 193 Heliport^37.54514^126.82364^S^AIRH^^^^^KR^^South Korea^Asia^00^^^^^^^^0^^33^Asia/Seoul^9.0^9.0^9.0^2017-11-10^^^^^^H^^|C 193 Heliport|^778^South Korea^KRW^^^^
^RKB1^^Y^11506291^^C 194 Heliport^C 194 Heliport^37.53256^126.69067^S^AIRH^^^^^KR^^South Korea^Asia^00^^^^^^^^0^^70^Asia/Seoul^9.0^9.0^9.0^2017-11-10^^^^^^H^^|C 194 Heliport|^778^South Korea^KRW^^^^
