iata_code;location_type;country_code;geoname_link;name;asciiname;lang_code;name_list
ABJ;A;CI;http://geonames.org/6296433 ;0.0611036514532;Port Bouet Airport;Port Bouet Airport;ar;
ABJ;C;CI;http://geonames.org/2293538 ;0.0611036514532;Abidjan;Abidjan;ar;أبيدجان
ABT;CA;SA;http://geonames.org/6300010 ;0.012477858081;Al Baha Airport;Al Baha Airport;ar;
ABZ;A;GB;http://geonames.org/6296624 ;0.0765934173297;Aberdeen International Airport;Aberdeen International Airport;ar;
ABZ;C;GB;http://geonames.org/2657832 ;0.0765934173297;Aberdeen;Aberdeen;ar;أبردين
ACC;A;GH;http://geonames.org/2299288 ;0.0735374565541;Kotoka International Airport;Kotoka International Airport;ar;
ACC;C;GH;http://geonames.org/2306104 ;0.0735374565541;Accra;Accra;ar;أكرا
ADD;A;ET;http://geonames.org/6297257 ;0.237113302917;Addis Ababa Bole International Airport;Addis Ababa Bole International Airport;ar;
ADD;C;ET;http://geonames.org/344979 ;0.237113302917;Addis Ababa;Addis Ababa;ar;أديس أبابا
ADE;A;YE;http://geonames.org/6300134 ;0.0103166919764;Aden Airport;Aden Airport;ar;
ADE;C;YE;http://geonames.org/415189 ;0.0103166919764;Aden;Aden;ar;عدن
ADL;A;AU;http://geonames.org/6301322 ;0.0860416518168;Adelaide Airport;Adelaide Airport;ar;
ADL;C;AU;http://geonames.org/2078025 ;0.0860416518168;Adelaide;Adelaide;ar;أديليد
AGA;A;MA;http://geonames.org/6297198 ;0.0189563240241;Agadir–Al Massira Airport;Agadir-Al Massira Airport;ar;مطار المسيرة
AGA;C;MA;http://geonames.org/2561668 ;0.0189563240241;Agadir;Agadir;ar;أڭادير
AGP;A;ES;http://geonames.org/6299346 ;0.0960467524372;Málaga Airport;Malaga Airport;ar;
AGP;C;ES;http://geonames.org/2514256 ;0.104590416559;Málaga;Malaga;ar;ملقة=مالقة
AHB;A;SA;http://geonames.org/6300008 ;0.0589287725042;Abha Regional Airport;Abha Regional Airport;ar;
AHB;C;SA;http://geonames.org/110690 ;0.0589287725042;Abha;Abha;ar;أبها=Abhā|p
AHO;A;IT;http://geonames.org/6299565 ;0.0136526654668;Alghero-Fertilia Airport;Alghero-Fertilia Airport;ar;
AHO;C;IT;http://geonames.org/3183284 ;0.0136526654668;Alghero;Alghero;ar;
AJA;A;FR;http://geonames.org/6299395 ;0.0180467219761;Ajaccio Napoleon Bonaparte Airport;Ajaccio Napoleon Bonaparte Airport;ar;
AJA;C;FR;http://geonames.org/3038334 ;0.0180467219761;Ajaccio;Ajaccio;ar;أجاكسيو
AJF;A;SA;http://geonames.org/399410 ;0.0153057170946;Al-Jawf Domestic Airport;Al-Jawf Domestic Airport;ar;الجوف
AJF;C;SA;http://geonames.org/102527 ;0.0153057170946;Sakakah;Sakakah;ar;Sakākā=سكاكا
AKL;A;NZ;http://geonames.org/6232134 ;0.179789559744;Auckland International Airport;Auckland International Airport;ar;
AKL;C;NZ;http://geonames.org/2193733 ;0.179789559744;Auckland;Auckland;ar;أوكلاند
ALC;A;ES;http://geonames.org/6255112 ;0.0605314981138;Alicante Airport;Alicante Airport;ar;
ALC;C;ES;http://geonames.org/2521978 ;0.0888351660146;Alicante;Alicante;ar;أليكانته
ALG;A;DZ;http://geonames.org/6296363 ;0.170692791563;Algiers Houari Boumediene Airport;Algiers Houari Boumediene Airport;ar;مطار هواري بومدين الدولي
