ATL;A;US;http://geonames.org/4199556 ;0.886746961967;Hartsfield-Jackson Atlanta International Airport;Hartsfield-Jackson Atlanta International Airport;en;Hartsfield–Jackson Atlanta International Airport
CDG;A;FR;http://geonames.org/6269554 ;0.842504858636;Paris Charles de Gaulle Airport;Paris Charles de Gaulle Airport;en;Paris Charles de Gaulle Airport
DFW;A;US;http://geonames.org/4684943 ;0.82535641265;Dallas/Fort Worth International Airport;Dallas/Fort Worth International Airport;en;
LHR;A;GB;http://geonames.org/2647216 ;0.814460438427;London Heathrow Airport;London Heathrow Airport;en;Heathrow Airport=Heathrow|s=London Heathrow Airport|p
CLT;A;US;http://geonames.org/4460310 ;0.586620529764;Charlotte Douglas International Airport;Charlotte Douglas International Airport;en;Charlotte Douglas International Airport|p=Charlotte Municipal Airport|h=Douglas Municipal Airport|h=Morris Field Air Base|h=Morris Field AB|sh
AMS;A;NL;http://geonames.org/6296680 ;0.572622257188;Amsterdam Airport Schiphol;Amsterdam Airport Schiphol;en;Amsterdam Airport Schiphol
IST;A;TR;http://geonames.org/6299743 ;0.567145533385;Istanbul Atatürk Airport;Istanbul Atatuerk Airport;en;Istanbul Atatürk Airport
FRA;A;DE;http://geonames.org/6290293 ;0.550170856586;Frankfurt Airport;Frankfurt Airport;en;Frankfurt Airport|ps
PEK;A;CN;http://geonames.org/6301354 ;0.542509587465;Beijing Capital International Airport;Beijing Capital International Airport;en;Beijing Capital International Airport|p
SVO;A;RU;http://geonames.org/494811 ;0.538160781631;Sheremetyevo International Airport;Sheremetyevo International Airport;en;Airport Moskau-Scheremetjewo=Sheremetyevo International Airport|p
ORD;A;US;http://geonames.org/4887479 ;0.535514433754;Chicago O'Hare International Airport;Chicago O'Hare International Airport;en;
DXB;A;AE;http://geonames.org/6300096 ;0.521566347414;Dubai International Airport;Dubai International Airport;en;
YYZ;A;CA;http://geonames.org/6296338 ;0.519933939304;Toronto Pearson International Airport;Toronto Pearson International Airport;en;Toronto Pearson International Airport
BOG;A;CO;http://geonames.org/6300736 ;0.470270153674;El Dorado International Airport;El Dorado International Airport;en;El Dorado International Airport
LAX;A;US;http://geonames.org/5368418 ;0.451915147644;Los Angeles International Airport;Los Angeles International Airport;en;Los Angeles International Airport|p
SEA;A;US;http://geonames.org/5809876 ;0.441878637036;Seattle-Tacoma International Airport;Seattle-Tacoma International Airport;en;Seattle–Tacoma International Airport
MAD;A;ES;http://geonames.org/6299345 ;0.418243416367;Adolfo Suárez Madrid–Barajas Airport;Adolfo Suarez Madrid-Barajas Airport;en;Adolfo Suárez Madrid–Barajas Airport|p=Madrid–Barajas Airport|s
EWR;A;US;http://geonames.org/5101809 ;0.417599693744;Newark Liberty International Airport;Newark Liberty International Airport;en;Newark Liberty International Airport|p
MIA;A;US;http://geonames.org/4164181 ;0.409942176901;Miami International Airport;Miami International Airport;en;Miami International Airport
MUC;A;DE;http://geonames.org/3208399 ;0.40623901783;Munich International Airport;Munich International Airport;en;Munich International Airport|ps=Franz Josef Strauss International Airport=Munich Airport
PPT;A;PF;http://geonames.org/6299963 ;0.386644796524;Fa'a'ā International Airport;Fa'a'a International Airport;en;Fa'a'ā International Airport
HND;A;JP;http://geonames.org/6300412 ;0.38472920808;Tokyo International Airport;Tokyo International Airport;en;Haneda Airport=Tokyo Haneda Airport=Tokyo International Airport|p
KUL;A;MY;http://geonames.org/6301255 ;0.379895098965;Sepang/KL International Airport;Sepang/KL International Airport;en;
CAN;A;CN;http://geonames.org/6301359 ;0.379851858129;Guangzhou;Guangzhou;en;
HKG;A;HK;http://geonames.org/6301089 ;0.371831955285;Hong Kong International Airport;Hong Kong International Airport;en;Chek Lap Kok Airport=Hong Kong International Airport|p
SYD;A;AU;http://geonames.org/2208268 ;0.359390787238;Sydney International Airport;Sydney International Airport;en;Sydney Airport=Sydney International Airport|p
DOH;A;QA;http://geonames.org/6300133 ;0.355550563389;Doha International Airport;Doha International Airport;en;Hamad International Airport|p
SFO;A;US;http://geonames.org/5391989 ;0.351450280232;San Francisco International Airport;San Francisco International Airport;en;San Francisco International Airport
CGK;A;ID;http://geonames.org/6301878 ;0.349851512256;Soekarno-Hatta International Airport;Soekarno-Hatta International Airport;en;Soekarno–Hatta International Airport
DEL;A;IN;http://geonames.org/6301872 ;0.343476923124;Indira Gandhi International Airport;Indira Gandhi International Airport;en;Indira Gandhi International Airport
BOS;A;US;http://geonames.org/4937646 ;0.340083341747;Logan International Airport;Logan International Airport;en;Logan International Airport|ps=General Edward Lawrence Logan International Airport
BKK;A;TH;http://geonames.org/6301137 ;0.337469754847;Suvarnabhumi Airport;Suvarnabhumi Airport;en;New Bangkok International Airport|h=Bangkok International Airport=Suvarnabhumi Airport|p
IAH;A;US;http://geonames.org/4693268 ;0.336062240335;George Bush Intercontinental Airport;George Bush Intercontinental Airport;en;George Bush Intercontinental Airport|p
DEN;A;US;http://geonames.org/5419401 ;0.331679420932;Denver International Airport;Denver International Airport;en;
LGW;A;GB;http://geonames.org/6296598 ;0.328604644917;London Gatwick Airport;London Gatwick Airport;en;London Gatwick Airport=Gatwick Airport|p
PHX;A;US;http://geonames.org/5308700 ;0.321141079105;Phoenix Sky Harbor International Airport;Phoenix Sky Harbor International Airport;en;Phoenix Sky Harbor Airport|s=Phoenix Sky Harbor International Airport|ps
PHL;A;US;http://geonames.org/4560342 ;0.321140566477;Philadelphia International Airport;Philadelphia International Airport;en;Philadelphia International Airport|p
JFK;A;US;http://geonames.org/5122732 ;0.310049250562;John F Kennedy International Airport;John F Kennedy International Airport;en;John F. Kennedy International Airport|p=JFK Airport
BOM;A;IN;http://geonames.org/6301032 ;0.306046452066;Chhatrapati Shivaji International Airport;Chhatrapati Shivaji International Airport;en;Chhatrapati Shivaji International Airport|p=Sahar International Airport|h=Bombay Airport|s=Mumbai Airport|s
FCO;A;IT;http://geonames.org/6299619 ;0.305386834519;Leonardo da Vinci–Fiumicino Airport;Leonardo da Vinci-Fiumicino Airport;en;Leonardo da Vinci–Fiumicino Airport|p=Fiumicino International Airport
JNB;A;ZA;http://geonames.org/993986 ;0.303335515699;O.R. Tambo International Airport;O.R. Tambo International Airport;en;O.R. Tambo International Airport=Oliver Reginald Tambo International
MEX;A;MX;http://geonames.org/6299859 ;0.289244484982;Benito Juárez International Airport;Benito Juarez International Airport;en;Mexico City International Airport=Benito Juárez International Airport|p
VCP;A;BR;http://geonames.org/6300637 ;0.288733289495;Viracopos International Airport;Viracopos International Airport;en;Viracopos/Campinas International Airport=Viracopos International Airport|s
